Id;Label;City;State;Country;Operating Status;Company Type;Number of Investments;Number of Lead Investments;Number of Diversity Investments;Number of Exits;Number of Lead Investors;Number of Investors;Number of Funding Rounds;Funding Status;Last Funding Date;Last Funding Amount;Last Funding Type;Last Equity Funding Type;Last Equity Funding Amount;Total Funding Amount;Number of Events;Aberdeen - IT Spend;Lat Country;Long Country;Lat State;Long State
NewLake Capital Partners;NewLake Capital Partners;Chicago; Illinois; United States;Active;For Profit;1;1;0;1;0;1;2;;12/02/2021;500000;Venture - Series Unknown;Venture - Series Unknown;500000;86000000;0;0;39,7837304;-100,445882;40,0796606;-89,4337288
Neotribe Ventures;Neotribe Ventures;San Francisco; California; United States;Active;Non Profit;43;15;5;6;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Ontario Teachers' Pension Plan;Ontario Teachers' Pension Plan;Toronto; Ontario; Canada;Active;Non Profit;81;32;3;36;0;0;0;;;0;;;0;0;1;257813259;61,0666922;-107,991707;50,000678;-86,000977
Redmile Group;Redmile Group;San Francisco; California; United States;Active;Non Profit;141;40;27;72;0;0;0;;;0;;;0;0;0;125017;39,7837304;-100,445882;36,7014631;-118,755997
Intel Capital;Intel Capital;Santa Clara; California; United States;Active;Non Profit;1506;520;85;467;0;1;1;Seed;12/02/2020;0;Seed;Seed;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Red Sea Ventures;Red Sea Ventures;New York; New York; United States;Active;Non Profit;86;8;19;15;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;40,7127281;-74,0060152
Natixis;Natixis;Paris; Ile-de-France; France;Active;For Profit;26;10;0;11;0;0;0;IPO;;0;;;0;0;4;0;46,603354;1,8883335;48,6443057;2,7537863
OVO Fund;OVO Fund;Palo Alto; California; United States;Active;Non Profit;31;5;12;5;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Picus Capital;Picus Capital;Munich; Bayern; Germany;Active;Non Profit;196;34;5;5;0;0;0;;;0;;;0;0;1;28652109;51,1638175;10,4478313;48,9467562;11,4038717
Owl Ventures;Owl Ventures;Menlo Park; California; United States;Active;Non Profit;101;60;26;9;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
One Peak Partners;One Peak Partners;London; England; United Kingdom;Active;Non Profit;28;22;0;1;0;0;0;;;0;;;0;0;0;7648802;54,7023545;-3,2765753;52,5310214;-1,2649062
SAIF Partners;SAIF Partners;Hong Kong; Hong Kong Island; Hong Kong;Active;Non Profit;375;122;4;56;0;0;0;;;0;;;0;0;1;0;22,350627;114,1849161;22,2793278;114,1628131
JCDecaux;JCDecaux;Neuilly-sur-seine; Ile-de-France; France;Active;For Profit;4;4;0;2;1;1;1;IPO;22/11/2018;114024;Post-IPO Debt;;0;114025;11;0;46,603354;1,8883335;48,6443057;2,7537863
IDC Ventures;IDC Ventures;Copenhagen; Hovedstaden; Denmark;Active;Non Profit;28;11;6;2;0;0;0;;;0;;;0;0;0;0;55,670249;10,3333283;55,86178115;12,3137351
Lightbank;Lightbank;Chicago; Illinois; United States;Active;Non Profit;173;59;33;42;0;0;0;;;0;;;0;0;0;564806;39,7837304;-100,445882;40,0796606;-89,4337288
Janus Henderson Investors;Janus Henderson Investors;London; England; United Kingdom;Active;For Profit;107;14;16;65;0;0;0;IPO;;0;;;0;0;0;11102750;54,7023545;-3,2765753;52,5310214;-1,2649062
Motive;Motive;Oklahoma City; Oklahoma; United States;Active;For Profit;0;0;0;0;0;0;2;Seed;10/10/2021;0;Pre-Seed;Pre-Seed;0;135000;0;0;39,7837304;-100,445882;34,9550817;-97,2684063
Hashkey;Hashkey;Hong Kong; Hong Kong Island; Hong Kong;Active;For Profit;80;10;5;2;0;0;0;;;0;;;0;0;2;0;22,350627;114,1849161;22,2793278;114,1628131
Mousse Partners;Mousse Partners;New York; New York; United States;Active;Non Profit;59;14;9;13;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;40,7127281;-74,0060152
MS&AD Ventures;MS&AD Ventures;Menlo Park; California; United States;Active;Non Profit;72;19;12;6;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Ocean Azul Partners;Ocean Azul Partners;Miami; Florida; United States;Active;Non Profit;40;12;10;1;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;27,7567667;-81,4639835
Propel Venture Partners;Propel Venture Partners;San Francisco; California; United States;Active;Non Profit;56;18;5;9;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Jerusalem Venture Partners (JVP);Jerusalem Venture Partners (JVP);Jerusalem; Yerushalayim; Israel;Active;Non Profit;226;92;7;53;0;0;0;;;0;;;0;0;1;0;30,8124247;34,8594762;31,7788242;35,2257626
HarbourVest Partners;HarbourVest Partners;Boston; Massachusetts; United States;Active;Non Profit;239;40;8;138;0;0;0;;;0;;;0;0;3;5694078;39,7837304;-100,445882;42,3788774;-72,032366
Hanaco Venture Capital;Hanaco Venture Capital;Tel Aviv; Tel Aviv; Israel;Active;Non Profit;51;21;5;2;0;0;0;;;0;;;0;0;0;0;30,8124247;34,8594762;32,0852997;34,7818064
IMO Ventures;IMO Ventures;San Mateo; California; United States;Active;Non Profit;37;8;0;0;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Hewlett Packard Enterprise;Hewlett Packard Enterprise;Houston; Texas; United States;Active;For Profit;31;6;4;3;0;0;0;IPO;;0;;;0;0;213;854722;39,7837304;-100,445882;31,2638905;-98,5456116
LVP;LVP;London; England; United Kingdom;Active;Non Profit;73;20;7;13;0;0;0;;;0;;;0;0;0;0;54,7023545;-3,2765753;52,5310214;-1,2649062
Panorama Point Partners;Panorama Point Partners;Omaha; Nebraska; United States;Active;Non Profit;26;6;1;10;0;0;1;;27/04/2015;4390296;Venture - Series Unknown;Venture - Series Unknown;4390296;4390296;0;80326;39,7837304;-100,445882;41,7370229;-99,5873816
IAC;IAC;New York; New York; United States;Active;For Profit;20;12;1;8;0;0;0;IPO;;0;;;0;0;2;0;39,7837304;-100,445882;40,7127281;-74,0060152
Nimble Ventures;Nimble Ventures;San Francisco; California; United States;Active;Non Profit;88;10;12;17;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Point Nine;Point Nine;Berlin; Berlin; Germany;Active;Non Profit;232;58;11;33;0;0;0;;;0;;;0;0;2;0;51,1638175;10,4478313;52,5170365;13,3888599
Hikma Ventures;Hikma Ventures;London; England; United Kingdom;Active;Non Profit;23;7;1;4;0;0;0;;;0;;;0;0;0;0;54,7023545;-3,2765753;52,5310214;-1,2649062
NeoStencil;NeoStencil;Gurgaon; Haryana; India;Active;For Profit;1;1;0;0;2;6;3;M&A;23/01/2017;0;Seed;Seed;0;1060000;0;0;22,3511148;78,6677428;29;76
North Coast Ventures;North Coast Ventures;Cleveland; Ohio; United States;Active;Non Profit;79;13;9;6;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;40,2253569;-82,6881395
Kae Capital;Kae Capital;Mumbai; Maharashtra; India;Active;Non Profit;96;33;2;17;0;1;1;;26/04/2012;0;Venture - Series Unknown;Venture - Series Unknown;0;0;0;0;22,3511148;78,6677428;18,9068356;75,6741579
North Bridge Venture Partners & Growth Equity;North Bridge Venture Partners & Growth Equity;Wellesley; Massachusetts; United States;Active;Non Profit;419;134;47;111;0;0;0;;;0;;;0;0;2;334044;39,7837304;-100,445882;42,3788774;-72,032366
Incubate Fund;Incubate Fund;Tokyo; Tokyo; Japan;Active;Non Profit;276;108;1;37;0;0;0;;;0;;;0;0;0;0;36,5748441;139,2394179;35,6821936;139,762221
IIFL Finance;IIFL Finance;Mumbai; Maharashtra; India;Active;For Profit;32;17;0;5;0;1;1;IPO;1/01/2008;0;Post-IPO Equity;Post-IPO Equity;0;0;0;0;22,3511148;78,6677428;18,9068356;75,6741579
Longitude Capital;Longitude Capital;Menlo Park; California; United States;Active;Non Profit;103;41;11;33;0;0;0;;;0;;;0;0;0;590797;39,7837304;-100,445882;36,7014631;-118,755997
Greenoaks Capital;Greenoaks Capital;San Francisco; California; United States;Active;For Profit;95;51;5;7;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Prudential Financial;Prudential Financial;Newark; New Jersey; United States;Active;For Profit;26;11;11;8;0;0;0;IPO;;0;;;0;0;9;7594;39,7837304;-100,445882;40,0757384;-74,4041622
IDEO CoLab Ventures;IDEO CoLab Ventures;Cambridge; Massachusetts; United States;Active;Non Profit;33;6;0;0;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;42,3788774;-72,032366
INKEF Capital;INKEF Capital;Amsterdam; Noord-Holland; The Netherlands;Active;For Profit;71;42;4;14;0;0;0;;;0;;;0;0;1;0;52,24764975;5,541246849;52,7212825;4,820665
Moderne Ventures;Moderne Ventures;Chicago; Illinois; United States;Active;Non Profit;92;9;17;18;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;40,0796606;-89,4337288
Novator;Novator;London; England; United Kingdom;Active;For Profit;39;16;0;4;0;0;0;;;0;;;0;0;0;7709043;54,7023545;-3,2765753;52,5310214;-1,2649062
HeroMotoCorp Ltd;HeroMotoCorp Ltd;New Delhi; Delhi; India;Active;For Profit;8;3;0;0;0;0;0;;;0;;;0;0;0;0;22,3511148;78,6677428;28,6273928;77,1716954
McAfee;McAfee;Santa Clara; California; United States;Active;For Profit;4;0;1;4;0;1;1;M&A;30/09/1991;0;Private Equity;Private Equity;0;0;46;0;39,7837304;-100,445882;36,7014631;-118,755997
Norrsken VC;Norrsken VC;Stockholm; Stockholms Lan; Sweden;Active;Non Profit;41;18;1;0;0;0;0;;;0;;;0;0;1;0;59,6749712;14,5208584;59,3954053;18,66526953
